Text,Intent,Response
"Thanks!","Gratitude","You're welcome! I'm here to help anytime. Feel free to ask if you have more questions about SkillHigh!"
"Thank you","Gratitude","You're welcome! I'm here to help anytime. Feel free to ask if you have more questions about SkillHigh!"
"Bye","Goodbye","Goodbye! Have a great day and good luck with your learning journey at SkillHigh!"
"Goodbye","Goodbye","Goodbye! Have a great day and good luck with your learning journey at SkillHigh!"
"What courses do you offer?","AskCourses","We offer comprehensive courses in Data Science, Web Development, AI/ML, Digital Marketing, and UI/UX Design. Each course includes hands-on projects, industry mentorship, and placement assistance. Would you like details about any specific course?"
"Tell me about your courses","AskCourses","We offer comprehensive courses in Data Science, Web Development, AI/ML, Digital Marketing, and UI/UX Design. Each course includes hands-on projects, industry mentorship, and placement assistance. Would you like details about any specific course?"
"What programs are available?","AskCourses","We offer comprehensive courses in Data Science, Web Development, AI/ML, Digital Marketing, and UI/UX Design. Each course includes hands-on projects, industry mentorship, and placement assistance. Would you like details about any specific course?"
"Do you provide certificates?","AskCertification","Yes! We provide industry-recognized certificates upon successful completion of courses. Our certificates are valued by employers and can be verified online. You need to maintain 80% attendance and complete all projects to receive certification."
"Will I get a certificate?","AskCertification","Yes! We provide industry-recognized certificates upon successful completion of courses. Our certificates are valued by employers and can be verified online. You need to maintain 80% attendance and complete all projects to receive certification."
"What about placement assistance?","AskPlacement","We provide comprehensive placement assistance including resume building, interview preparation, mock interviews, and direct referrals to our partner companies. Our placement rate is 85% with an average salary of ₹6-12 LPA for fresh graduates."
"Do you help with job placement?","AskPlacement","We provide comprehensive placement assistance including resume building, interview preparation, mock interviews, and direct referrals to our partner companies. Our placement rate is 85% with an average salary of ₹6-12 LPA for fresh graduates."
"How long are the courses?","AskDuration","Our courses range from 3-12 months depending on the program. Data Science and AI/ML courses are 6-12 months, Web Development is 4-6 months, and Digital Marketing is 3-4 months. All courses include practical projects and industry exposure."
"What is the course duration?","AskDuration","Our courses range from 3-12 months depending on the program. Data Science and AI/ML courses are 6-12 months, Web Development is 4-6 months, and Digital Marketing is 3-4 months. All courses include practical projects and industry exposure."
"Are classes online or offline?","AskMode","We offer both online and offline classes! You can choose based on your preference. Online classes include live sessions, recorded lectures, and interactive assignments. Offline classes are conducted in our modern labs with hands-on experience."
"What is the class format?","AskMode","We offer both online and offline classes! You can choose based on your preference. Online classes include live sessions, recorded lectures, and interactive assignments. Offline classes are conducted in our modern labs with hands-on experience."
"How can I enroll?","AskEnrollment","You can enroll by visiting our website, filling out the application form, and paying the course fee. We also offer a free counseling session to help you choose the right course. Contact our admission team at +91-9876543210 for assistance."
"How do I apply?","AskEnrollment","You can enroll by visiting our website, filling out the application form, and paying the course fee. We also offer a free counseling session to help you choose the right course. Contact our admission team at +91-9876543210 for assistance."
"What are the prerequisites?","AskPrerequisites","Most courses require basic computer knowledge and 12th grade completion. For technical courses like Data Science and AI/ML, basic programming knowledge is helpful but not mandatory. We provide foundation modules for beginners."
"Do I need prior experience?","AskPrerequisites","Most courses require basic computer knowledge and 12th grade completion. For technical courses like Data Science and AI/ML, basic programming knowledge is helpful but not mandatory. We provide foundation modules for beginners."
"What is SkillHigh?","AskAbout","SkillHigh is a leading ed-tech platform that provides industry-relevant courses in technology and digital skills. We focus on practical learning with real-world projects and have helped 10000+ students build successful careers in tech."
"Tell me about SkillHigh","AskAbout","SkillHigh is a leading ed-tech platform that provides industry-relevant courses in technology and digital skills. We focus on practical learning with real-world projects and have helped 10000+ students build successful careers in tech."
"Who are you?","AskAbout","I'm SkillHigh's AI assistant! I'm here to help you with information about our courses, admissions, fees, internships, and any other questions you might have about SkillHigh."
"What can you help me with?","AskCapabilities","I can help you with course information, fees, enrollment process, internship details, certification information, placement assistance, and general queries about SkillHigh. Just ask me anything!"
"How can you help me?","AskCapabilities","I can help you with course information, fees, enrollment process, internship details, certification information, placement assistance, and general queries about SkillHigh. Just ask me anything!"
"I'm confused","AskHelp","No worries! I'm here to help clarify things for you. Could you tell me what specific information you're looking for? I can help with courses, fees, admissions, or any other SkillHigh-related questions."
"I need help","AskHelp","No worries! I'm here to help clarify things for you. Could you tell me what specific information you're looking for? I can help with courses, fees, admissions, or any other SkillHigh-related questions."
"Can I get a refund?","AskRefund","We offer a 7-day money-back guarantee if you're not satisfied with the course content. Refund requests must be made within 7 days of enrollment and before accessing more than 20% of the course material. Contact our support team for assistance."
"What is your refund policy?","AskRefund","We offer a 7-day money-back guarantee if you're not satisfied with the course content. Refund requests must be made within 7 days of enrollment and before accessing more than 20% of the course material. Contact our support team for assistance."
